S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
5710,Hold Bandhan Bank; target of Rs 658: Arihant Capital ,2019-05-06 14:18:00,Arihant Capital,Bandhan Bank,BANDHANBNK,658.0,Hold,2019-05-06,620.0,2019-05-13,558.0,Complete
5711,Hold Greaves Cotton; target of Rs 165: Arihant Capital ,2019-05-06 14:01:00,Arihant Capital,Greaves Cotton,GREAVESCOT,165.0,Hold,2019-05-06,146.8,2019-07-11,132.12,Complete
5712,Accumulate Dabur India; target of Rs 446: Arihant Capital ,2019-05-06 14:00:00,Arihant Capital,Dabur India,DABUR,446.0,Accumulate,2019-05-06,380.0,2019-08-27,446.0,Complete
5713,Buy L&T Technology Services; target of Rs 1860: HDFC Securities ,2019-05-06 13:31:00,HDFC Securities,L&T Technology Services,TRIGYN,1860.0,Buy,,,,,Not Attempted
5714,Hold Greaves Cotton; target of Rs 155: Sharekhan ,2019-05-03 17:03:00,Sharekhan,Greaves Cotton,GREAVESCOT,155.0,Hold,2019-05-06,146.8,2019-06-04,155.0,Complete
5715,Buy Britannia Industries; target of Rs 3475: Sharekhan ,2019-05-03 16:09:00,Sharekhan,Britannia Industries,BRITANNIA,3475.0,Buy,2019-05-06,2699.0,2019-08-20,2429.1,Complete
5716,Sell Kansai Nerolac; target of Rs 393: Dolat Capital ,2019-05-03 16:08:00,Dolat Capital,Kansai Nerolac,KANSAINER,393.0,Sell,2019-05-16,393.0,2019-05-06,427.5,Complete
5717,Buy Bandhan Bank; target of Rs 725: ICICI Direct ,2019-05-03 16:07:00,ICICI Direct,Bandhan Bank,BANDHANBNK,725.0,Buy,2019-05-06,620.0,2019-05-13,558.0,Complete
5718,Hold Kansai Nerolac Paints; target of Rs 455: ICICI Direct ,2019-05-03 16:06:00,ICICI Direct,Kansai Nerolac Paints,KANSAINER,455.0,Hold,2019-05-06,427.5,2019-05-31,455.0,Complete
5719,Buy Intellect Design Arena; target of Rs 313: HDFC Securities ,2019-05-03 16:05:00,HDFC Securities,Intellect Design Arena,INTELLECT,313.0,Buy,2019-05-06,214.0,2019-09-25,192.6,Complete
5720,Accumulate Britannia Industries; target of Rs 3145: Prabhudas Lilladher ,2019-05-03 16:02:00,Prabhudas Lilladher,Britannia Industries,BRITANNIA,3145.0,Accumulate,2019-05-06,2699.0,2019-08-20,2429.1,Complete
5721,Hold Hindustan Zinc; target of Rs 275: Prabhudas Lilladher ,2019-05-03 16:00:00,Prabhudas Lilladher,Hindustan Zinc,HINDZINC,275.0,Hold,2019-05-06,271.7,2019-06-06,244.53,Complete
5722,Buy Syngene International; target of Rs 700: Globe Capital Market ,2019-05-03 15:59:00,Globe Capital Market,Syngene International,SYNGENE,700.0,Buy,2019-05-06,600.55,2019-05-28,700.0,Complete
5723,Buy Persistent Systems; target of Rs 735: Kotak Securities ,2019-05-03 15:57:00,Kotak Securities,Persistent Systems,PERSISTENT,735.0,Buy,2019-05-06,616.0,2019-07-24,554.4,Complete
5724,Buy Hindustan Unilever; target of Rs 1830: Keynotes Financial Opiniery ,2019-05-03 15:56:00,Keynotes Financial Opiniery,Hindustan Unilever,HINDUNILVR,1830.0,Buy,2019-05-06,1687.0,2019-06-03,1830.0,Complete
5725,Hold Ambuja Cements; target of Rs 232: Arihant Capital ,2019-05-03 15:53:00,Arihant Capital,Ambuja Cements,AMBUJACEM,232.0,Hold,2019-05-06,220.25,2019-05-24,232.0,Complete
5726,Buy Dabur India; target of Rs 464: HDFC Securities ,2019-05-03 15:42:00,HDFC Securities,Dabur India,DABUR,464.0,Buy,2019-05-06,380.0,2019-09-20,464.0,Complete
